viewDate,areaMunKm,areaUcKm,uc,uf,municipio
17/12/2019,0.32,0,,RO,Vale do Anari
17/12/2019,0.1,0,,RO,Vale do Anari
17/12/2019,0.08,0,,RO,Vale do Anari
17/12/2019,0.08,0,,RO,Vale do Anari
17/12/2019,0.06,0,,RO,Machadinho D'oeste
17/12/2019,0.21,0,,RO,Machadinho D'oeste
17/12/2019,0.07,0,,RO,Machadinho D'oeste
17/12/2019,0.09,0,,RO,Machadinho D'oeste
17/12/2019,0.09,0,,AM,Manicore
17/12/2019,0.09,0,,AM,Manicore
17/12/2019,0.17,0,,AM,Manicore
17/12/2019,0.23,0,,RO,Machadinho D'oeste
18/12/2019,0.11,0,,MT,Nova Ubirata
18/12/2019,0.08,0,,MT,Uniao do Sul
18/12/2019,0.11,0,,MT,Uniao do Sul
18/12/2019,0.07,0,,MT,Uniao do Sul
18/12/2019,0.21,0,,MT,Querencia
18/12/2019,0.53,0,,MT,Uniao do Sul
18/12/2019,3.29,0,,MT,Uniao do Sul
18/12/2019,1.31,0,,MT,Uniao do Sul
18/12/2019,1.95,0,,MT,Canarana
18/12/2019,0.43,0,,MT,Canarana
18/12/2019,0.42,0,,MT,Canarana
18/12/2019,1.45,0,,MT,Uniao do Sul
18/12/2019,0.37,0,,MT,Canarana
18/12/2019,0.56,0,,MT,Canarana
18/12/2019,0.25,0,,MT,Canarana
18/12/2019,0.13,0,,MT,Uniao do Sul
18/12/2019,1.71,0,,MT,Canarana
18/12/2019,0.26,0,,MT,Canarana
18/12/2019,0.21,0,,MT,Canarana
18/12/2019,0.13,0,,MT,Canarana
18/12/2019,0.11,0,,PA,Santana do Araguaia
18/12/2019,0.13,0,,PA,Conceiçao do Araguaia
18/12/2019,0.17,0,,PA,Conceiçao do Araguaia
18/12/2019,1.34,0,,MT,Sao Felix do Araguaia
18/12/2019,0.13,0,,MT,Sao Felix do Araguaia
20/12/2019,0.12,0,,MT,Colniza
20/12/2019,0.15,0,,MT,Colniza
20/12/2019,0.16,0,,MT,Apiacas
20/12/2019,0.2,0,,MT,Apiacas
20/12/2019,0.11,0,,MT,Apiacas
20/12/2019,0.18,0,,MT,Apiacas
20/12/2019,0.09,0,,MT,Apiacas
20/12/2019,5.3,0,,MT,Apiacas
20/12/2019,0.12,0,,PA,Altamira
20/12/2019,0.23,0,,PA,Altamira
20/12/2019,0.24,0.24,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
20/12/2019,0.58,0,,AM,Apui
20/12/2019,0.35,0,,PA,Novo Progresso
20/12/2019,0.1,0,,AM,Apui
